Job #,Borough,House #,Street Name,Block,Lot,Bin #,Job Type,Community - Board,Curb Cut,Fully Permitted,Initial Cost,Proposed Zoning Sqft,Horizontal Enlrgmt,Vertical Enlrgmt,Enlargement SQ Footage,Zoning Dist1,Job Description
140922893,Manhattan,160,E 89 ST,1517,43,1048094,A2,108,,2020-07-14,85000.0,0,,,0,R8B,"HEREBY FILING APPLICATION FOR THE INTERIOR RENOVATION OF APARTMENT 5D ON THE 5TH FLOOR. PLUMBING WORK TO BE FILED ON DOB NOW ON JOB# M00361800-I1. NO CHANGE IN USE, EGRESS OR OCCUPANCY."
301773579,Brooklyn,65,GATES AVENUE,1962,86,3056039,A1,302,,2007-05-23,60000.0,0,,,0,R6,"Change existing four story and basement brick building from 9 rooming units and one apartment  into four dwelling units,plumbing &amp; partition work as per plan.No change bulk FAR and lot coverage."
301976057,Brooklyn,1401,OCEAN AVENUE,7584,35,3206621,A2,314,,2006-02-28,75000.0,0,,,0,,COMBINING OF APARTMENT 4A &amp; 4L.NO CHANGEIN EGRESS OR USE.
301989276,Brooklyn,154,NOBLE STREET,2573,10,3065099,A1,301,,2006-09-29,40000.0,0,,,0,C4-3,New C of O for existing building. New duplex apartment - between basement and 1st floor in existing opening.  Remove existing oil tanks. Replace existing oil boiler with gas one.
302000974,Brooklyn,501,HICKS STREET,321,7501,3003731,A2,306,,2005-12-12,40000.0,0,,,0,R6,ERECTION OF MEZZANINE IN EXISTING APARTMENT #401. INSTALLATION OF NEW BA THROOM.
302002990,Brooklyn,334,MILFORD STREET,4056,145,3393496,A1,305,,2006-01-06,65000.0,0,,,0,R6,Proposed convert 1 Duplex  apartment (UG.J3) into Day Care Center &amp; Amended Certificate of Occupancy.
321783147,Brooklyn,451,CLINTON AVENUE,1961,6,3321898,A2,302,,2018-02-20,45000.0,0,,,0,R6B,"RENOVATION OF APARTMENT 4E TO INCLUDE REMOVAL AND INSTALLATION OF PARTITIONS, DOORS, CEILING, PLUMBING AND FINISHES. NO CHANGE TO USE, EGRESS OR OCCUPANCY IS INVOLVED."
302008645,Brooklyn,611,HANCOCK STREET,1656,59,3045842,A1,303,,2005-11-28,50000.0,0,,,0,R5,APPLICATION FILED TO CONVERT FROM 2 FAMILY TO 2 FAMILY DUPLEX APARTMENTS AND INTERIOR REPAIR AS PER PLANS HEREWITH SUBMITTED
220586881,Bronx,212,EAST 182 STREET,3157,39,2013709,A1,205,,2020-10-16,75000.0,36000,,,0,R8,INTERIOR RENOVATION AND ADDITION OF ONE APARTMENT AS PER PLANS FILED HEREWITH  REVISED PW1 AND PW1A SUBMITTED RESPECTFULLY REQUESTING TO AMEND SECTION 9D &amp; 13C.
141002313,Manhattan,242,EAST 19 STREET,899,32,1019591,A2,106,,2021-06-23,44000.0,0,,,0,R9A,STRUCTURAL WORK FOR NEW CONVENIENCE STAIR IN CONJUNCTION WITH APARTMENT COMBINATION FILED UNDER DOB NOW M00509165
302022656,Brooklyn,6,2 STREET,460,2,3007811,A2,306,,2008-04-23,60000.0,0,,,0,,"RENOVATE EXISTING LOWER DUPLEX APARTMENT. NO CHANGE TO EGRESS,OCCUPANCY OR USE."
102614048,Manhattan,730,PARK AVENUE,1385,37,1041333,A2,108,,2000-05-10,75000.0,0,,,0,,"Minor renovation to existing apartment to include new finishes, replacements of through wall a/c units in existing opening.  No change in use, occupancy or egress."
302026885,Brooklyn,595,HANCOCK STREET,1656,67,3045849,A2,303,,2014-10-14,72000.0,0,,,0,R5,"MISC. RENOVATIONS IN  DUPLEX APT.  AT BASEMENT AND FIRST FLOOR WITH ADDITION OF NEW SPIRAL STAIR, NEW WINDOWS, NEW LANDINGS AND NEW STAIRS TO REAR YARD. MISCELLANEOUS RENOVATIONS IN APARTMENTS AT SECOND AND THIRD FLOORS. STRUCTURAL WORK AT CELLAR. NO CHANGE TO USE EGRESS NOR-OCCUPANCY."
102636578,Manhattan,192,SPRING STREET,489,20,1007355,A2,102,,2001-03-01,50000.0,0,,,0,C1-5,"COMBINE APARTMENTS AT 5TH FLOOR, APARTMENTS 19 &amp; 20.  STAIR BULKHEAD TO ROOF FROM APARTMENT.  NO CHANGE TO USE, EGRESS, OR OCCUPANCY."
122354120,Manhattan,1060,PARK AVENUE,1499,32,1046918,A2,108,,2015-07-24,85000.0,0,,,0,R10,"INTERIOR RENOVATION OF AN EXISTING 3 BEDROOM APARTMENT. PARTITIONS AND PLUMBING FIXTURES AS PER PLANS FILED HEREWITH.  NO CHANGE TO USE, EGRESS OR OCCUPANCY."
301828930,Brooklyn,802,ROGERS AVENUE,5090,49,3336213,A1,317,,2005-02-03,60000.0,0,,,0,C2-3,CHANGE USE FROM 'DAY CARE CENTER AND 2 APARTMENTS' TO '3-FAMILY DWELLING'. NEW ENCLOSURE FOR STAIRS AND BOILER.
302040342,Brooklyn,3032,CONEY ISLAND AVENUE,7264,69,3196549,A2,313,,2005-11-21,54000.0,0,,,0,R6,"Restore  prior condition in 1st and 2nd floor from illegal office to apartment on each floor. No change in use, egress or occupancy."
302043198,Brooklyn,90,EIGHTH AVENUE,1065,37,3024655,A2,306,,2006-01-19,70000.0,0,,,0,R6,"Renovation of existing apartment #9C.  Architectural and plumbing work. No change of use, occupancy or egress."
102702817,Manhattan,45,EAST   85 STREET,1497,28,1046832,A2,108,,2000-08-22,55000.0,0,,,0,C5-1,"Combine apartments 6C &amp; 6F: remove existing kitchens; new kitchen; partition work.  No change in use, egress or occupancy."
102708447,Manhattan,530,EAST   85 STREET,1581,39,1051225,A2,108,,2001-08-24,52000.0,0,,,0,R8B,"General construction in association with apartment combination.  Minor demolitio n, new construction and modification to plumbing as shown on drawings submitted herewith.  Remove one kitchen and cap lines as shown.  No change in use, occupancy or egress."
102715849,Manhattan,250,WEST   78 STREET,1169,57,1030900,A2,107,,2000-08-28,45000.0,0,,,0,R8B,"MISCELLANEOUS APARTMENT RENOVATIONS AND NEW GYP. BD FINISHES. NEW BATHROOM AND KITCHEN FIXTURES ON EXISTING ROUGING. APARTMENT #'S : 2ER, 3CF, 4CF, 5ER, 5AR,5DR.  NO CHANGE TO USE, EGRESS, NOR OCCUPANCY."
102718150,Manhattan,1045,PARK AVENUE,1515,1,1047951,A2,108,,2001-01-23,60000.0,0,,,0,R10,"Minor demolition of interior partitions and removal of plumbing fixtures.  Minor construction of interior partitions and installation of plumbing fixtures for co mbination of apartments 8C and 8D, as per attached plans.  NO CHANGE TO USE, EGRESS, OR OCCUPANCY"
122341126,Manhattan,270,W 73 ST,1164,159,1030538,A1,107,,2015-08-21,45000.0,5760,,,0,R8B,FILING TO CONVERT MULTIPLE DWELLING CLASS B APARTMENTS TO A SINGLE FAMILY DWELLING. MINOR PARTITIONS AND PLUMBING AS PER PLANS FILED HEREWITH.
302053097,Brooklyn,57,3 STREET,460,34,3007843,A2,306,,2006-04-24,45000.0,0,,,0,R6,"Renovation to existing duplex apartment. Partition changes, plumbing and finish work. No change to use, occupancy or egress."
